频率 (Hz)	电平 (dB)
46.875000	-57.536179
93.750000	-50.884808
140.625000	-48.076626
187.500000	-44.038872
234.375000	-41.036541
281.250000	-36.918739
328.125000	-37.238186
375.000000	-38.906956
421.875000	-39.785980
468.750000	-38.757332
515.625000	-39.117458
562.500000	-35.933437
609.375000	-34.137032
656.250000	-35.256531
703.125000	-38.097275
750.000000	-38.787415
796.875000	-39.799965
843.750000	-38.496845
890.625000	-35.586143
937.500000	-37.230053
984.375000	-36.212143
1031.250000	-40.161835
1078.125000	-43.974567
1125.000000	-41.742691
1171.875000	-38.696606
1218.750000	-40.900520
1265.625000	-42.640053
1312.500000	-39.505108
1359.375000	-40.767548
1406.250000	-43.448536
1453.125000	-40.198837
1500.000000	-40.130432
1546.875000	-40.332161
1593.750000	-40.884789
1640.625000	-42.617340
1687.500000	-41.633049
1734.375000	-40.171776
1781.250000	-40.386597
1828.125000	-44.272820
1875.000000	-44.286221
1921.875000	-40.651318
1968.750000	-38.986134
2015.625000	-40.770821
2062.500000	-42.251732
2109.375000	-42.098690
2156.250000	-42.686459
2203.125000	-41.113274
2250.000000	-40.516739
2296.875000	-39.214626
2343.750000	-38.747662
2390.625000	-40.041218
2437.500000	-43.397278
2484.375000	-44.982422
2531.250000	-43.044914
2578.125000	-41.478516
2625.000000	-39.473873
2671.875000	-39.823483
2718.750000	-42.957409
2765.625000	-47.571320
2812.500000	-50.208557
2859.375000	-50.015499
2906.250000	-48.142578
2953.125000	-46.759178
3000.000000	-48.958157
3046.875000	-53.156662
3093.750000	-55.821484
3140.625000	-53.616634
3187.500000	-51.614193
3234.375000	-51.937256
3281.250000	-52.142738
3328.125000	-51.161087
3375.000000	-51.455044
3421.875000	-50.453812
3468.750000	-48.543045
3515.625000	-46.966122
3562.500000	-47.362865
3609.375000	-49.661617
3656.250000	-51.030182
3703.125000	-50.351009
3750.000000	-49.705612
3796.875000	-49.036522
3843.750000	-48.200779
3890.625000	-45.694885
3937.500000	-42.352859
3984.375000	-42.499149
4031.250000	-45.702793
4078.125000	-49.166149
4125.000000	-50.211143
4171.875000	-49.941807
4218.750000	-50.200764
4265.625000	-50.073307
4312.500000	-49.890888
4359.375000	-48.158970
4406.250000	-44.934483
4453.125000	-44.433666
4500.000000	-45.166313
4546.875000	-44.710011
4593.750000	-42.694042
4640.625000	-41.958698
4687.500000	-41.959282
4734.375000	-41.662514
4781.250000	-42.033348
4828.125000	-41.682369
4875.000000	-40.334557
4921.875000	-38.766499
4968.750000	-38.310925
5015.625000	-39.804161
5062.500000	-43.558666
5109.375000	-46.034904
5156.250000	-46.118687
5203.125000	-45.014618
5250.000000	-43.057964
5296.875000	-42.967705
5343.750000	-43.845928
5390.625000	-45.273029
5437.500000	-46.055084
5484.375000	-45.977890
5531.250000	-44.710209
5578.125000	-43.480743
5625.000000	-42.652805
5671.875000	-41.491539
5718.750000	-40.572769
5765.625000	-40.768890
5812.500000	-40.316734
5859.375000	-39.281384
5906.250000	-38.338337
5953.125000	-37.971218
6000.000000	-38.831654
6046.875000	-40.171444
6093.750000	-41.175484
6140.625000	-40.841080
6187.500000	-40.299721
6234.375000	-39.832729
6281.250000	-40.223438
6328.125000	-40.501614
6375.000000	-40.310265
6421.875000	-41.132805
6468.750000	-41.890366
6515.625000	-42.591076
6562.500000	-42.670490
6609.375000	-42.624054
6656.250000	-42.233936
6703.125000	-42.864799
6750.000000	-43.639778
6796.875000	-45.104435
6843.750000	-46.784348
6890.625000	-46.111588
6937.500000	-46.167625
6984.375000	-46.472706
7031.250000	-46.993004
7078.125000	-47.209335
7125.000000	-47.922787
7171.875000	-48.473248
7218.750000	-49.792984
7265.625000	-50.519814
7312.500000	-49.996845
7359.375000	-50.724331
7406.250000	-52.197655
7453.125000	-52.485676
7500.000000	-52.366776
7546.875000	-52.811249
7593.750000	-53.243603
7640.625000	-53.769886
7687.500000	-53.796829
7734.375000	-54.622574
