频率 (Hz)	电平 (dB)
46.875000	-57.123775
93.750000	-51.511585
140.625000	-49.190277
187.500000	-46.882164
234.375000	-45.237804
281.250000	-42.151505
328.125000	-42.861629
375.000000	-45.323502
421.875000	-46.973797
468.750000	-46.961926
515.625000	-47.464180
562.500000	-45.108524
609.375000	-43.262821
656.250000	-43.067062
703.125000	-46.495419
750.000000	-49.485649
796.875000	-50.274593
843.750000	-50.454510
890.625000	-47.749386
937.500000	-49.830502
984.375000	-49.304203
1031.250000	-53.139538
1078.125000	-57.658367
1125.000000	-55.934582
1171.875000	-52.936852
1218.750000	-55.530777
1265.625000	-58.196556
1312.500000	-55.023075
1359.375000	-56.584576
1406.250000	-59.902958
1453.125000	-56.780067
1500.000000	-56.597015
1546.875000	-56.343109
1593.750000	-56.803207
1640.625000	-57.981976
1687.500000	-57.508209
1734.375000	-57.912071
1781.250000	-58.739326
1828.125000	-62.804401
1875.000000	-61.842731
1921.875000	-58.051941
1968.750000	-57.510845
2015.625000	-59.248310
2062.500000	-61.171700
2109.375000	-61.578712
2156.250000	-62.506657
2203.125000	-61.346569
2250.000000	-59.933773
2296.875000	-58.015068
2343.750000	-58.102238
2390.625000	-60.331707
2437.500000	-64.034050
2484.375000	-64.968376
2531.250000	-62.610500
2578.125000	-60.699306
2625.000000	-58.936096
2671.875000	-59.637741
2718.750000	-63.555546
2765.625000	-69.314941
2812.500000	-71.422989
2859.375000	-70.531403
2906.250000	-68.866226
2953.125000	-68.371979
3000.000000	-71.331848
3046.875000	-75.293251
3093.750000	-75.630997
3140.625000	-73.987762
3187.500000	-72.937904
3234.375000	-74.004677
3281.250000	-75.006081
3328.125000	-73.795052
3375.000000	-73.431328
3421.875000	-72.450439
3468.750000	-71.758690
3515.625000	-70.506851
3562.500000	-70.764572
3609.375000	-72.024620
3656.250000	-72.433838
3703.125000	-72.191673
3750.000000	-72.161385
3796.875000	-72.478271
3843.750000	-72.333916
3890.625000	-70.245636
3937.500000	-67.196037
3984.375000	-67.843719
4031.250000	-70.995941
4078.125000	-73.981552
4125.000000	-74.537918
4171.875000	-74.572701
4218.750000	-75.004051
4265.625000	-74.887985
4312.500000	-75.577324
4359.375000	-75.005440
4406.250000	-71.657005
4453.125000	-71.042152
4500.000000	-72.271210
4546.875000	-71.905113
4593.750000	-70.297997
4640.625000	-69.863251
4687.500000	-70.625458
4734.375000	-70.551834
4781.250000	-71.072746
4828.125000	-70.482178
4875.000000	-68.308136
4921.875000	-67.104980
4968.750000	-67.317093
5015.625000	-68.842697
5062.500000	-72.553123
5109.375000	-75.681671
5156.250000	-76.145546
5203.125000	-74.592743
5250.000000	-72.240845
5296.875000	-72.031517
5343.750000	-73.113335
5390.625000	-74.333794
5437.500000	-74.517990
5484.375000	-74.160271
5531.250000	-72.797668
5578.125000	-71.896721
5625.000000	-71.969131
5671.875000	-70.913673
5718.750000	-69.617661
5765.625000	-69.786613
5812.500000	-69.266243
5859.375000	-68.108124
5906.250000	-67.485741
5953.125000	-67.060577
6000.000000	-68.294327
6046.875000	-69.400131
