频率 (Hz)	电平 (dB)
46.875000	-57.833427
93.750000	-49.907852
140.625000	-46.136429
187.500000	-41.607632
234.375000	-38.868851
281.250000	-35.424316
328.125000	-36.351208
375.000000	-38.444176
421.875000	-39.174351
468.750000	-38.283279
515.625000	-38.636032
562.500000	-36.817677
609.375000	-35.350883
656.250000	-37.369637
703.125000	-39.401085
750.000000	-39.735477
796.875000	-40.424072
843.750000	-40.115471
890.625000	-37.960388
937.500000	-39.517918
984.375000	-39.103374
1031.250000	-42.330124
1078.125000	-44.554993
1125.000000	-43.594078
1171.875000	-41.219971
1218.750000	-42.918823
1265.625000	-44.462029
1312.500000	-42.657902
1359.375000	-43.840603
1406.250000	-45.319431
1453.125000	-43.458958
1500.000000	-43.315849
1546.875000	-43.042572
1593.750000	-43.282925
1640.625000	-45.180244
1687.500000	-44.796219
1734.375000	-44.208538
1781.250000	-44.668087
1828.125000	-46.811001
1875.000000	-47.019001
1921.875000	-44.990894
1968.750000	-43.965088
2015.625000	-45.550262
2062.500000	-47.143059
2109.375000	-45.979389
2156.250000	-45.656345
2203.125000	-44.683895
2250.000000	-44.791779
2296.875000	-45.054947
2343.750000	-44.848518
2390.625000	-44.859722
2437.500000	-45.460186
2484.375000	-44.813011
2531.250000	-44.827164
2578.125000	-45.745399
2625.000000	-45.083641
2671.875000	-45.697464
2718.750000	-47.933731
2765.625000	-50.186314
2812.500000	-51.014442
2859.375000	-52.265274
2906.250000	-52.219971
2953.125000	-52.623924
3000.000000	-56.487087
3046.875000	-59.715843
3093.750000	-58.024616
3140.625000	-56.175133
3187.500000	-56.704353
3234.375000	-58.011818
3281.250000	-56.657932
3328.125000	-55.412426
3375.000000	-55.327194
3421.875000	-53.908787
3468.750000	-52.544388
3515.625000	-51.955143
3562.500000	-52.808334
3609.375000	-53.581730
3656.250000	-53.435524
3703.125000	-52.481167
3750.000000	-51.460155
3796.875000	-50.674503
3843.750000	-50.530354
3890.625000	-49.369869
3937.500000	-47.614285
3984.375000	-48.483532
4031.250000	-51.082592
4078.125000	-51.895393
4125.000000	-51.849449
4171.875000	-51.797325
4218.750000	-52.849339
4265.625000	-53.125484
4312.500000	-52.388172
4359.375000	-50.846855
4406.250000	-48.879303
4453.125000	-47.940861
4500.000000	-47.332184
4546.875000	-46.795658
4593.750000	-46.475094
4640.625000	-46.200191
4687.500000	-45.750370
4734.375000	-45.300026
4781.250000	-45.332260
4828.125000	-44.979317
4875.000000	-44.711323
4921.875000	-44.138824
4968.750000	-44.270573
5015.625000	-45.360962
5062.500000	-47.652420
5109.375000	-49.041168
5156.250000	-50.068493
5203.125000	-49.543423
5250.000000	-48.740578
5296.875000	-49.277615
5343.750000	-49.508286
5390.625000	-50.003796
5437.500000	-49.416878
5484.375000	-48.820938
5531.250000	-48.492233
5578.125000	-48.003914
5625.000000	-47.132092
5671.875000	-46.501865
5718.750000	-45.698006
5765.625000	-45.064171
5812.500000	-44.956898
5859.375000	-44.913921
5906.250000	-44.615051
5953.125000	-44.766647
6000.000000	-45.441460
6046.875000	-45.927029
6093.750000	-46.362892
6140.625000	-46.265736
6187.500000	-45.906075
6234.375000	-45.576492
6281.250000	-45.579357
6328.125000	-45.868736
6375.000000	-46.178539
6421.875000	-46.463192
6468.750000	-46.866253
6515.625000	-47.254482
6562.500000	-47.697544
6609.375000	-47.928989
6656.250000	-47.622208
6703.125000	-48.349911
6750.000000	-49.559933
6796.875000	-50.956802
6843.750000	-52.148872
6890.625000	-51.981010
6937.500000	-51.814533
6984.375000	-52.035500
