频率 (Hz)	电平 (dB)
46.875000	-60.367596
93.750000	-59.101349
140.625000	-57.259533
187.500000	-53.485336
234.375000	-50.646255
281.250000	-46.623474
328.125000	-45.961868
375.000000	-46.468639
421.875000	-46.510754
468.750000	-45.763172
515.625000	-46.500965
562.500000	-43.442513
609.375000	-41.102127
656.250000	-40.248718
703.125000	-43.269413
750.000000	-45.253086
796.875000	-45.509933
843.750000	-44.746944
890.625000	-42.460770
937.500000	-44.125153
984.375000	-43.247253
1031.250000	-46.937263
1078.125000	-50.657467
1125.000000	-48.552982
1171.875000	-45.452534
1218.750000	-48.026604
1265.625000	-50.236786
1312.500000	-46.646221
1359.375000	-48.108643
1406.250000	-51.192928
1453.125000	-47.679138
1500.000000	-47.208664
1546.875000	-46.474621
1593.750000	-46.756237
1640.625000	-48.043842
1687.500000	-47.551453
1734.375000	-47.607971
1781.250000	-47.965721
1828.125000	-51.305199
1875.000000	-49.809578
1921.875000	-45.783993
1968.750000	-45.173595
2015.625000	-47.363693
2062.500000	-49.838276
2109.375000	-49.813213
2156.250000	-50.224602
2203.125000	-48.667671
2250.000000	-48.007130
2296.875000	-47.014050
2343.750000	-46.874813
2390.625000	-48.529945
2437.500000	-51.017765
2484.375000	-51.516739
2531.250000	-49.354591
2578.125000	-47.167912
2625.000000	-45.256237
2671.875000	-45.556770
2718.750000	-49.152363
2765.625000	-53.798756
2812.500000	-54.911522
2859.375000	-54.754349
2906.250000	-54.099075
2953.125000	-54.065815
3000.000000	-57.207794
3046.875000	-60.112843
3093.750000	-59.543365
3140.625000	-58.619858
3187.500000	-59.027771
3234.375000	-60.668724
3281.250000	-60.699360
3328.125000	-59.444416
3375.000000	-59.571217
3421.875000	-58.425449
3468.750000	-57.342247
3515.625000	-56.189941
3562.500000	-56.465508
3609.375000	-57.428936
3656.250000	-57.703381
3703.125000	-57.484261
3750.000000	-57.118362
3796.875000	-57.091278
3843.750000	-56.649055
3890.625000	-55.279007
3937.500000	-52.736313
3984.375000	-53.262302
4031.250000	-56.038128
4078.125000	-57.327171
4125.000000	-57.725368
4171.875000	-58.258446
4218.750000	-59.816338
4265.625000	-60.410744
4312.500000	-60.683216
4359.375000	-58.672829
4406.250000	-54.509117
4453.125000	-54.011124
4500.000000	-55.133160
4546.875000	-54.675972
4593.750000	-53.232883
4640.625000	-52.761600
4687.500000	-53.230835
4734.375000	-52.730202
4781.250000	-53.156528
4828.125000	-52.208618
4875.000000	-50.219872
4921.875000	-49.192440
4968.750000	-49.484062
5015.625000	-50.879917
5062.500000	-54.672245
5109.375000	-58.600487
5156.250000	-58.989880
5203.125000	-56.909824
5250.000000	-54.407734
5296.875000	-54.043694
5343.750000	-55.200150
5390.625000	-56.892155
5437.500000	-56.943996
5484.375000	-56.361252
5531.250000	-55.096008
5578.125000	-54.070072
5625.000000	-54.013496
5671.875000	-52.935284
5718.750000	-51.455814
5765.625000	-51.227234
5812.500000	-50.218933
5859.375000	-49.041969
5906.250000	-48.276482
5953.125000	-47.884720
6000.000000	-48.931660
6046.875000	-49.643661
6093.750000	-50.421989
6140.625000	-50.570393
6187.500000	-50.028988
6234.375000	-49.637978
6281.250000	-49.204948
6328.125000	-49.578289
6375.000000	-50.113850
6421.875000	-50.666100
6468.750000	-51.335495
6515.625000	-52.280693
6562.500000	-52.468052
6609.375000	-52.444607
6656.250000	-51.375740
6703.125000	-51.733715
6750.000000	-53.091541
6796.875000	-54.540501
6843.750000	-56.819054
6890.625000	-56.183266
6937.500000	-56.202999
6984.375000	-57.244061
7031.250000	-57.972862
7078.125000	-57.232536
7125.000000	-57.648159
7171.875000	-58.672356
7218.750000	-60.692650
7265.625000	-62.446609
7312.500000	-61.669033
7359.375000	-61.604462
7406.250000	-62.845203
7453.125000	-62.748871
7500.000000	-63.215176
7546.875000	-64.874611
7593.750000	-65.628822
7640.625000	-65.553436
7687.500000	-64.496307
7734.375000	-66.715279
7781.250000	-65.600479
7828.125000	-64.793945
7875.000000	-64.102066
7921.875000	-63.098751
7968.750000	-63.310291
8015.625000	-64.787361
8062.500000	-66.253212
8109.375000	-67.490753
8156.250000	-66.487000
8203.125000	-64.945618
8250.000000	-68.438309
8296.875000	-69.523720
8343.750000	-69.033806
8390.625000	-68.066437
8437.500000	-67.472198
8484.375000	-68.192719
8531.250000	-70.338905
8578.125000	-72.217186
8625.000000	-71.593735
8671.875000	-71.593491
8718.750000	-72.687874
8765.625000	-73.185402
8812.500000	-73.130905
8859.375000	-72.623299
8906.250000	-72.553093
8953.125000	-71.979324
9000.000000	-70.427902
9046.875000	-71.225586
9093.750000	-73.626122
9140.625000	-73.218040
9187.500000	-72.352592
9234.375000	-72.550323
9281.250000	-72.424377
9328.125000	-71.257561
9375.000000	-70.593811
9421.875000	-67.751442
9468.750000	-67.568214
9515.625000	-69.256004
9562.500000	-69.617348
9609.375000	-69.730988
9656.250000	-69.088295
9703.125000	-69.086777
9750.000000	-68.493668
9796.875000	-67.040787
9843.750000	-67.522163
9890.625000	-67.713310
9937.500000	-66.919151
9984.375000	-66.900589
10031.250000	-67.198631
10078.125000	-67.727669
10125.000000	-67.510300
10171.875000	-65.172623
10218.750000	-65.575241
10265.625000	-67.829765
10312.500000	-66.826523
10359.375000	-66.121170
10406.250000	-65.805801
10453.125000	-66.324791
10500.000000	-65.672440
10546.875000	-65.180557
10593.750000	-65.770729
10640.625000	-66.051468
10687.500000	-66.997810
10734.375000	-67.332077
10781.250000	-67.523773
10828.125000	-66.580940
10875.000000	-65.653099
10921.875000	-65.920219
10968.750000	-66.139458
11015.625000	-66.472618
11062.500000	-67.055962
11109.375000	-68.142639
11156.250000	-68.735870
11203.125000	-67.578896
11250.000000	-67.341743
11296.875000	-68.051689
11343.750000	-67.989059
11390.625000	-68.840935
11437.500000	-69.435394
11484.375000	-69.145386
11531.250000	-69.676895
11578.125000	-69.570305
11625.000000	-69.881203
11671.875000	-71.862206
11718.750000	-71.762985
11765.625000	-72.595299
11812.500000	-72.964203
11859.375000	-72.004303
11906.250000	-71.546593
11953.125000	-71.799728
12000.000000	-72.314034
12046.875000	-73.714493
12093.750000	-74.100548
12140.625000	-74.560616
12187.500000	-75.412102
12234.375000	-74.096069
12281.250000	-73.095581
12328.125000	-72.403328
12375.000000	-73.414597
12421.875000	-72.794632
12468.750000	-72.337456
12515.625000	-72.165756
12562.500000	-72.984428
12609.375000	-73.414314
12656.250000	-72.240959
12703.125000	-70.718216
12750.000000	-70.180740
12796.875000	-71.373749
12843.750000	-71.903763
12890.625000	-70.274353
12937.500000	-69.623787
12984.375000	-69.725586
13031.250000	-69.350899
13078.125000	-70.739967
13125.000000	-72.790108
13171.875000	-73.459770
13218.750000	-73.562408
13265.625000	-73.033676
13312.500000	-74.020279
13359.375000	-75.237061
13406.250000	-75.494110
13453.125000	-75.439919
13500.000000	-75.083374
13546.875000	-76.383682
13593.750000	-76.547043
