频率 (Hz)	电平 (dB)
46.875000	-58.902985
93.750000	-58.044937
140.625000	-56.055359
187.500000	-53.198006
234.375000	-51.563587
281.250000	-48.266628
328.125000	-48.707718
375.000000	-50.605946
421.875000	-51.700733
468.750000	-51.106010
515.625000	-51.262390
562.500000	-48.254337
609.375000	-45.906487
656.250000	-44.922764
703.125000	-47.947563
750.000000	-50.285282
796.875000	-51.235401
843.750000	-50.179653
890.625000	-47.097542
937.500000	-47.718113
984.375000	-46.460224
1031.250000	-50.242435
1078.125000	-53.898617
1125.000000	-51.749981
1171.875000	-48.530849
1218.750000	-50.865349
1265.625000	-52.719296
1312.500000	-48.966408
1359.375000	-50.425041
1406.250000	-53.011299
1453.125000	-49.452709
1500.000000	-48.887669
1546.875000	-48.129555
1593.750000	-48.213551
1640.625000	-48.888145
1687.500000	-48.388897
1734.375000	-49.820339
1781.250000	-50.407738
1828.125000	-53.056484
1875.000000	-49.610386
1921.875000	-45.375648
1968.750000	-45.266380
2015.625000	-47.927757
2062.500000	-51.216167
2109.375000	-50.420624
2156.250000	-50.660065
2203.125000	-49.908234
2250.000000	-48.974457
2296.875000	-47.610783
2343.750000	-47.689884
2390.625000	-49.304398
2437.500000	-52.662327
2484.375000	-55.783752
2531.250000	-52.214973
2578.125000	-47.562363
2625.000000	-45.143635
2671.875000	-46.275635
2718.750000	-50.540817
2765.625000	-57.790710
2812.500000	-56.573925
2859.375000	-52.528118
2906.250000	-51.749222
2953.125000	-52.518993
3000.000000	-56.279659
3046.875000	-61.451473
3093.750000	-64.496460
3140.625000	-62.937077
3187.500000	-60.240635
3234.375000	-61.464790
3281.250000	-62.813026
3328.125000	-63.967453
3375.000000	-64.437195
3421.875000	-61.448734
3468.750000	-60.414906
3515.625000	-59.515442
3562.500000	-59.886883
3609.375000	-60.929981
3656.250000	-63.006584
3703.125000	-64.659889
3750.000000	-63.700191
3796.875000	-59.904076
3843.750000	-57.057369
3890.625000	-54.776432
3937.500000	-53.547955
3984.375000	-55.623856
4031.250000	-56.197796
4078.125000	-56.201298
4125.000000	-56.651249
4171.875000	-57.642323
4218.750000	-58.740505
4265.625000	-58.303196
4312.500000	-60.157883
4359.375000	-60.288471
4406.250000	-55.832005
4453.125000	-55.119289
4500.000000	-57.318897
4546.875000	-57.891495
4593.750000	-56.256588
4640.625000	-55.189125
4687.500000	-55.002041
4734.375000	-54.482315
4781.250000	-54.540524
4828.125000	-53.095963
4875.000000	-50.302094
4921.875000	-48.718250
4968.750000	-48.760334
5015.625000	-50.252495
5062.500000	-54.140541
5109.375000	-57.617226
5156.250000	-57.782043
5203.125000	-55.573181
5250.000000	-53.141937
5296.875000	-53.311443
5343.750000	-54.942196
5390.625000	-56.817635
5437.500000	-56.813656
5484.375000	-56.313126
5531.250000	-55.056427
5578.125000	-54.407215
5625.000000	-54.543690
5671.875000	-53.194485
5718.750000	-51.504242
5765.625000	-51.654617
5812.500000	-51.052486
5859.375000	-49.584873
5906.250000	-48.755157
5953.125000	-48.429920
6000.000000	-49.624950
6046.875000	-50.802567
6093.750000	-51.499828
6140.625000	-51.359085
6187.500000	-51.251007
6234.375000	-50.878147
6281.250000	-50.636681
6328.125000	-50.970829
6375.000000	-51.247044
6421.875000	-52.092442
6468.750000	-52.783276
6515.625000	-53.060230
6562.500000	-53.326908
6609.375000	-53.326336
